"COD_CLIENTE";"CAT_EDAD";"ESTADO_CIVIL";"NIVEL_ESTUDIOS";"RANGO_INGRESOS";"SEXO"
"CLI0046943858";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"MUJER"
"CLI0001344899";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0009465660";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0021438388";"4_PLUS40";"CASADO";"PRIMARIA";"[600-1000>";"HOMBRE"
"CLI0041806448";"3_30_40";"SOLTERO";"UNIVERSIDAD";"<600";"HOMBRE"
"CLI0002658620";"4_PLUS40";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";"MUJER"
"CLI0045736360";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER"
"CLI0008299700";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[1000-2000>";"HOMBRE"
"CLI0010077211";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"HOMBRE"
"CLI0043868764";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";"HOMBRE"
"CLI0042300329";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0023819867";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0016539110";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0071522782";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE"
"CLI0032804408";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE"
"CLI0008791308";"4_PLUS40";"CASADO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0010077855";"4_PLUS40";"SOLTERO";"PRIMARIA";">=2000";"HOMBRE"
"CLI0032118929";"4_PLUS40";"CASADO";"PRIMARIA";"<600";"MUJER"
"CLI0007393552";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"HOMBRE"
"CLI0080393279";"4_PLUS40";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";"HOMBRE"
"CLI0073305941";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0046131081";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0070145178";"2_MINUS30";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";"MUJER"
"CLI0044818793";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";"MUJER"
"CLI0001869463";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER"
"CLI0007256604";"4_PLUS40";"SOLTERO";"PRIMARIA";"[1000-2000>";"HOMBRE"
"CLI0047073573";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0047931609";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0007367752";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"HOMBRE"
"CLI0010402175";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"HOMBRE"
"CLI0047168099";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";"MUJER"
"CLI0020644802";"4_PLUS40";"CASADO";"SECUNDARIA";"[1000-2000>";"HOMBRE"
"CLI0010627445";"3_30_40";"CASADO";"SECUNDARIA";">=2000";"HOMBRE"
"R_10415273440";"3_30_40";"SOLTERO";"UNIVERSIDAD";">=2000";"MUJER"
"CLI0043360795";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"MUJER"
"R_10459218241";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE"
"CLI0045168191";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0003367115";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"MUJER"
"CLI0041115796";"3_30_40";"SOLTERO";"PRIMARIA";"[1000-2000>";"HOMBRE"
"CLI0080277027";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";"MUJER"
"CLI0016765398";"4_PLUS40";"CASADO";"SECUNDARIA";">=2000";"HOMBRE"
"CLI0015966337";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";">=2000";"HOMBRE"
"CLI0044839981";"2_MINUS30";"SOLTERO";"SIN_ESTUDIOS";"<600";"HOMBRE"
"CLI0076621287";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";"MUJER"
"R_10411021331";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";"MUJER"
"CLI0031032130";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";">=2000";"MUJER"
"CLI0041356778";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER"
"CLI0042153520";"2_MINUS30";"SOLTERO";"SECUNDARIA";">=2000";"MUJER"
"CLI0046481691";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"HOMBRE"
"R_10409083965";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0043375174";"2_MINUS30";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"MUJER"
"CLI0041888170";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0031033947";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"HOMBRE"
"CLI0042681130";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0080526128";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE"
"CLI0042751465";"2_MINUS30";"SOLTERO";"PRIMARIA";">=2000";"MUJER"
"CLI0044737578";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0021874481";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0080002383";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER"
"CLI0070848445";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE"
"CLI0040300665";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0000521712";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"HOMBRE"
"CLI0042761508";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"MUJER"
"CLI0043232752";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0023842695";"4_PLUS40";"CASADO";"UNIVERSIDAD";">=2000";"MUJER"
"CLI0040378301";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"MUJER"
"CLI0070993175";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"<600";"HOMBRE"
"CLI0002417866";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"MUJER"
"CLI0045059497";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0009224312";"4_PLUS40";"CASADO";"SECUNDARIA";"[1000-2000>";"MUJER"
"CLI0000216258";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"HOMBRE"
"CLI0032848394";"4_PLUS40";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";"HOMBRE"
"CLI0043135858";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";"HOMBRE"
"CLI0004815496";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[600-1000>";"HOMBRE"
"CLI0040866021";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0017454320";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0044397210";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0072077346";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";"MUJER"
"CLI0007876452";"4_PLUS40";"SOLTERO";"SECUNDARIA";">=2000";"MUJER"
"CLI0000811386";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"MUJER"
"CLI0010362191";"3_30_40";"SOLTERO";"UNIVERSIDAD";">=2000";"MUJER"
"CLI0000006418";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0008131759";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"MUJER"
"CLI0041325200";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0080652752";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"HOMBRE"
"CLI0047548699";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";"MUJER"
"CLI0001872158";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[600-1000>";"MUJER"
"CLI0029647532";"3_30_40";"SOLTERO";"UNIVERSIDAD";">=2000";"MUJER"
"CLI0007910812";"4_PLUS40";"SOLTERO";"SECUNDARIA";">=2000";"MUJER"
"CLI0001335782";"4_PLUS40";"CASADO";"SECUNDARIA";">=2000";"MUJER"
"CLI0043747418";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE"
"CLI0031039785";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"MUJER"
"CLI0018149494";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"HOMBRE"
"CLI0006060319";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE"
"CLI0044333723";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0002544273";"3_30_40";"SOLTERO";"PRIMARIA";"[1000-2000>";"MUJER"
"CLI0009580011";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0008880950";"4_PLUS40";"SOLTERO";"SECUNDARIA";">=2000";"HOMBRE"
"R_10445091672";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"MUJER"
"CLI0010592349";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE"
"CLI0006254109";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";"MUJER"
"CLI0043975379";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0041163038";"4_PLUS40";"CASADO";"SECUNDARIA";"[1000-2000>";"MUJER"
"CLI0006291884";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"HOMBRE"
"CLI0017915719";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";"MUJER"
"CLI0080141354";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";"MUJER"
"CLI0019820127";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"HOMBRE"
"CLI0070027164";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";"MUJER"
"CLI0025573758";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"HOMBRE"
"CLI0047588644";"2_MINUS30";"SOLTERO";"SIN_ESTUDIOS";"<600";"MUJER"
"CLI0045105679";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0020903774";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER"
"CLI0045519491";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0006049782";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"HOMBRE"
"CLI0046611464";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"MUJER"
"CLI0044490434";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE"
"CLI0045329663";"2_MINUS30";"SOLTERO";"SECUNDARIA";">=2000";"MUJER"
"CLI0024662508";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"HOMBRE"
"CLI0016512118";"4_PLUS40";"SOLTERO";"PRIMARIA";"<600";"MUJER"
"CLI0032930329";"4_PLUS40";"CASADO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0015854237";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";"MUJER"
"CLI0042391314";"2_MINUS30";"SOLTERO";"PRIMARIA";">=2000";"HOMBRE"
"CLI0010087255";"3_30_40";"CASADO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0043031825";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";"HOMBRE"
"CLI0017815880";"4_PLUS40";"SOLTERO";"PRIMARIA";"<600";"HOMBRE"
"CLI0040508347";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE"
"CLI0040714680";"3_30_40";"SOLTERO";"SECUNDARIA";">=2000";"HOMBRE"
"CLI0025448241";"4_PLUS40";"CASADO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0045281593";"2_MINUS30";"SOLTERO";"SECUNDARIA";">=2000";"HOMBRE"
"CLI0010445831";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER"
"CLI0017882402";"4_PLUS40";"SOLTERO";"SECUNDARIA";">=2000";"MUJER"
"CLI0070839237";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0032799808";"4_PLUS40";"CASADO";"UNIVERSIDAD";">=2000";"HOMBRE"
"CLI0010322130";"4_PLUS40";"CASADO";"PRIMARIA";"[600-1000>";"MUJER"
"CLI0025672807";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0002064058";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER"
"CLI0029604760";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"HOMBRE"
"CLI0022968716";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0008869434";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"HOMBRE"
"CLI0044651645";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[600-1000>";"MUJER"
"CLI0045852896";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0074501646";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";"MUJER"
"CLI0009696576";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0046290542";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"HOMBRE"
"CLI0047989593";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";"MUJER"
"CLI0032125114";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0008815908";"4_PLUS40";"CASADO";"SECUNDARIA";"[1000-2000>";"HOMBRE"
"CLI0047848771";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";"HOMBRE"
"CLI0080255722";"3_30_40";"SOLTERO";"PRIMARIA";"<600";"HOMBRE"
"R_10429585100";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0042885689";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER"
"CLI0042816724";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0025691271";"4_PLUS40";"CASADO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0029398882";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[600-1000>";"MUJER"
"CLI0021529365";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"HOMBRE"
"CLI0044507641";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";"HOMBRE"
"CLI0040649600";"3_30_40";"SOLTERO";"SECUNDARIA";">=2000";"HOMBRE"
"CLI0046775023";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0070349153";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";"MUJER"
"CLI0026636540";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0031601948";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE"
"CLI0041148336";"3_30_40";"SOLTERO";"PRIMARIA";">=2000";"HOMBRE"
"CLI0046485822";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0007504409";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"HOMBRE"
"CLI0076060999";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";"MUJER"
"CLI0008527245";"4_PLUS40";"CASADO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0040035711";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE"
"CLI0032733368";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"MUJER"
"CLI0029432638";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";">=2000";"MUJER"
"CLI0021446770";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"<600";"MUJER"
"CLI0025770087";"4_PLUS40";"CASADO";"SECUNDARIA";">=2000";"HOMBRE"
"CLI0070213603";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE"
"CLI0046908743";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"HOMBRE"
"CLI0010373338";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"HOMBRE"
"CLI0040857595";"3_30_40";"SOLTERO";"SECUNDARIA";"<600";"HOMBRE"
"CLI0041715804";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"MUJER"
"CLI0005334240";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"HOMBRE"
"CLI0000453483";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[600-1000>";"HOMBRE"
"CLI0010282898";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"HOMBRE"
"CLI0043889123";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0029640149";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"HOMBRE"
"CLI0047281393";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"HOMBRE"
"CLI0047279995";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0007496592";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0043030076";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0006805532";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0016472009";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER"
"CLI0077223287";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"<600";"MUJER"
"CLI0042605663";"2_MINUS30";"SOLTERO";"PRIMARIA";"[1000-2000>";"MUJER"
"CLI0022085519";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER"
"CLI0045806655";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0008631046";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";">=2000";"MUJER"
"CLI0032777739";"4_PLUS40";"SOLTERO";"SECUNDARIA";">=2000";"MUJER"
"CLI0008368027";"4_PLUS40";"SOLTERO";"SECUNDARIA";">=2000";"MUJER"
"CLI0045086022";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER"
"CLI0017428660";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";"MUJER"
"CLI0002773177";"4_PLUS40";"CASADO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0016135192";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"MUJER"
"R_10076176847";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"MUJER"
"CLI0008084606";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"HOMBRE"
"CLI0009420948";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0070447899";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER"
"CLI0010492193";"4_PLUS40";"SOLTERO";"PRIMARIA";"[1000-2000>";"HOMBRE"
"CLI0010074402";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0047357673";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";"HOMBRE"
"CLI0021859676";"4_PLUS40";"CASADO";"PRIMARIA";"<600";"MUJER"
"CLI0004042574";"4_PLUS40";"CASADO";"UNIVERSIDAD";">=2000";"MUJER"
"CLI0042928550";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0041548458";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0046143928";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"HOMBRE"
"CLI0021456609";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"MUJER"
"CLI0046792655";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0043376239";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0043978018";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
