"COD_CLIENTE";"CAT_EDAD";"ESTADO_CIVIL";"NIVEL_ESTUDIOS";"RANGO_INGRESOS";"CAMP_DEPOSITOS";"SEXO"
"CLI0070319599";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0032139010";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0041413097";"3_30_40";"SOLTERO";"UNIVERSIDAD";">=2000";1;"HOMBRE"
"CLI0016718345";"3_30_40";"CASADO";"UNIVERSIDAD";">=2000";0;"HOMBRE"
"CLI0023990175";"3_30_40";"SOLTERO";"UNIVERSIDAD";">=2000";1;"MUJER"
"CLI0019033530";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";0;"HOMBRE"
"CLI0041443036";"3_30_40";"CASADO";"PRIMARIA";"[1000-2000>";1;"MUJER"
"CLI0016155395";"4_PLUS40";"SOLTERO";"SECUNDARIA";">=2000";1;"HOMBRE"
"CLI0017969982";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";0;"MUJER"
"CLI0017969840";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";0;"MUJER"
"CLI0027721876";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";">=2000";0;"MUJER"
"CLI0010251965";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0041726034";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"HOMBRE"
"CLI0023207532";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";0;"MUJER"
"CLI0026631485";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";0;"MUJER"
"CLI0045108287";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"HOMBRE"
"CLI0019249020";"4_PLUS40";"CASADO";"UNIVERSIDAD";">=2000";0;"HOMBRE"
"CLI0019249020";"4_PLUS40";"CASADO";"UNIVERSIDAD";">=2000";0;"HOMBRE"
"CLI0025706073";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0029362393";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[600-1000>";0;"MUJER"
"CLI0010151257";"3_30_40";"SOLTERO";"SECUNDARIA";">=2000";1;"MUJER"
"CLI0032799887";"4_PLUS40";"CASADO";"UNIVERSIDAD";">=2000";0;"HOMBRE"
"DR_00042766051";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";0;"MUJER"
"CLI0046657799";"2_MINUS30";"SOLTERO";"SECUNDARIA";">=2000";0;"HOMBRE"
"CLI0044214376";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0047829203";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";0;"MUJER"
"CLI0009697515";"3_30_40";"CASADO";"UNIVERSIDAD";"[1000-2000>";0;"MUJER"
"CLI0008680680";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";0;"HOMBRE"
"CLI0018210217";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"HOMBRE"
"CLI0041796782";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";0;"HOMBRE"
"CLI0072354947";"2_MINUS30";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";0;"HOMBRE"
"CLI0003893623";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"HOMBRE"
"CLI0006752051";"4_PLUS40";"SOLTERO";"PRIMARIA";"<600";1;"MUJER"
"CLI0005370951";"3_30_40";"CASADO";"SECUNDARIA";"[1000-2000>";0;"MUJER"
"CLI0042568281";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"MUJER"
"CLI0006131333";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";">=2000";0;"MUJER"
"CLI0048536205";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";0;"MUJER"
"CLI0048534143";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";0;"HOMBRE"
"CLI0045369116";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"MUJER"
"CLI0040154725";"3_30_40";"SOLTERO";"PRIMARIA";"[1000-2000>";0;"HOMBRE"
"CLI0044183948";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";0;"MUJER"
"CLI0017820859";"4_PLUS40";"SOLTERO";"PRIMARIA";"<600";0;"MUJER"
"CLI0048473924";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"<600";0;"MUJER"
"CLI0045093417";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";0;"MUJER"
"CLI0009726585";"4_PLUS40";"SOLTERO";"SECUNDARIA";">=2000";0;"HOMBRE"
"CLI0047928078";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"HOMBRE"
"CLI0046754301";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";1;"HOMBRE"
"CLI0009859113";"3_30_40";"CASADO";"UNIVERSIDAD";"[1000-2000>";0;"HOMBRE"
"CLI0047531931";"2_MINUS30";"SOLTERO";"PRIMARIA";">=2000";0;"HOMBRE"
"CLI0006189309";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";0;"HOMBRE"
"CLI0042031662";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";0;"HOMBRE"
"CLI0004041586";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0025821059";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"<600";0;"MUJER"
"CLI0045664668";"2_MINUS30";"CASADO";"SECUNDARIA";"<600";0;"HOMBRE"
"CLI0006754142";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0029656700";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";0;"HOMBRE"
"CLI0008729532";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"HOMBRE"
"CLI0047147253";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";0;"MUJER"
"CLI0040189515";"3_30_40";"SOLTERO";"UNIVERSIDAD";">=2000";1;"MUJER"
"CLI0042066622";"2_MINUS30";"SOLTERO";"SECUNDARIA";">=2000";0;"MUJER"
"CLI0041953355";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";0;"HOMBRE"
"CLI0002367116";"4_PLUS40";"CASADO";"SECUNDARIA";">=2000";0;"MUJER"
"CLI0003875152";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"<600";1;"HOMBRE"
"CLI0017915568";"4_PLUS40";"CASADO";"SECUNDARIA";"<600";1;"HOMBRE"
"CLI0071690577";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";1;"MUJER"
"CLI0048191035";"2_MINUS30";"SOLTERO";"SIN_ESTUDIOS";"<600";1;"MUJER"
"CLI1006592365";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"<600";0;"HOMBRE"
"CLI0009903669";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";1;"HOMBRE"
"CLI0044953220";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";1;"MUJER"
"CLI0045191770";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";0;"MUJER"
"CLI0070025727";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0041723945";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"HOMBRE"
"CLI0009402041";"4_PLUS40";"CASADO";"SECUNDARIA";"[1000-2000>";0;"MUJER"
"CLI0007033450";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[1000-2000>";0;"HOMBRE"
"CLI0047788458";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";1;"MUJER"
"CLI0006752636";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"MUJER"
"CLI0006584354";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0009719817";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"MUJER"
"CLI0015998218";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0029405165";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";0;"HOMBRE"
"CLI0009856415";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";0;"HOMBRE"
"CLI0007125007";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"MUJER"
"CLI0029624551";"3_30_40";"SOLTERO";"UNIVERSIDAD";">=2000";0;"HOMBRE"
"R_10104627663";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[1000-2000>";0;"MUJER"
"CLI0020723915";"4_PLUS40";"SOLTERO";"SECUNDARIA";"<600";1;"MUJER"
"CLI0047042414";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";1;"MUJER"
"CLI0043385644";"2_MINUS30";"SOLTERO";"PRIMARIA";">=2000";0;"HOMBRE"
"CLI0000520993";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0003847970";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0032991172";"3_30_40";"SOLTERO";"UNIVERSIDAD";">=2000";0;"HOMBRE"
"CLI0047704211";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"HOMBRE"
"CLI0070579166";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";0;"HOMBRE"
"CLI0026702899";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";1;"HOMBRE"
"R_10097395671";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";">=2000";0;"HOMBRE"
"CLI0041295251";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";1;"MUJER"
"CLI0047519941";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";0;"HOMBRE"
"CLI0070614936";"2_MINUS30";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";0;"MUJER"
"CLI0008668720";"4_PLUS40";"SOLTERO";"SECUNDARIA";">=2000";0;"HOMBRE"
"CLI0022666199";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";1;"MUJER"
"CLI0043758194";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0047666218";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"MUJER"
"CLI0032852941";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0043741113";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";0;"HOMBRE"
"CLI0029334318";"4_PLUS40";"CASADO";"SECUNDARIA";">=2000";0;"MUJER"
"CLI0029543708";"4_PLUS40";"CASADO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0041506091";"3_30_40";"SOLTERO";"SECUNDARIA";">=2000";1;"MUJER"
"CLI0023007206";"3_30_40";"CASADO";"SECUNDARIA";"[1000-2000>";1;"HOMBRE"
"CLI0045922499";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";0;"MUJER"
"CLI0007619280";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[1000-2000>";0;"HOMBRE"
"CLI0048171151";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";0;"MUJER"
"CLI0047845741";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";0;"MUJER"
"CLI0023842648";"4_PLUS40";"CASADO";"UNIVERSIDAD";">=2000";0;"HOMBRE"
"CLI0023879889";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[600-1000>";0;"HOMBRE"
"CLI0040387683";"3_30_40";"SOLTERO";"PRIMARIA";"[1000-2000>";0;"HOMBRE"
"CLI0010165373";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";1;"HOMBRE"
"CLI0009484886";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[1000-2000>";0;"HOMBRE"
"CLI0006687776";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";0;"MUJER"
"CLI0041878678";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"MUJER"
"CLI0046759524";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0045677719";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";1;"HOMBRE"
"CLI0040624862";"3_30_40";"CASADO";"UNIVERSIDAD";"[600-1000>";1;"HOMBRE"
"CLI0016484335";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[1000-2000>";0;"MUJER"
"CLI0016771137";"4_PLUS40";"SOLTERO";"PRIMARIA";"<600";0;"MUJER"
"DR_00021887905";"3_30_40";"SOLTERO";"SECUNDARIA";">=2000";0;"HOMBRE"
"CLI0042586788";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";1;"MUJER"
"CLI0048410810";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";1;"MUJER"
"CLI0045554240";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0048334382";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"<600";0;"HOMBRE"
"CLI0029416520";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0042717533";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";0;"HOMBRE"
"CLI0008801416";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[600-1000>";0;"MUJER"
"CLI0041023864";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"HOMBRE"
"CLI0045076511";"2_MINUS30";"SOLTERO";"SECUNDARIA";">=2000";0;"HOMBRE"
"CLI0002669715";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";0;"MUJER"
"CLI0041517590";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";1;"HOMBRE"
"CLI0018170836";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";0;"MUJER"
"CLI0010082218";"3_30_40";"CASADO";"SECUNDARIA";"[1000-2000>";0;"HOMBRE"
"CLI0004819877";"4_PLUS40";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";0;"MUJER"
"CLI0043927867";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0043236711";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";0;"HOMBRE"
"CLI0020659524";"4_PLUS40";"SOLTERO";"SECUNDARIA";">=2000";1;"MUJER"
"CLI0007696879";"4_PLUS40";"CASADO";"PRIMARIA";"<600";0;"HOMBRE"
"R_10295701493";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"MUJER"
"CLI0009882186";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0042582597";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";0;"MUJER"
"CLI0045832460";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";0;"HOMBRE"
"CLI0009873239";"3_30_40";"SOLTERO";"UNIVERSIDAD";">=2000";0;"MUJER"
"CLI0010641719";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0029635311";"3_30_40";"CASADO";"SECUNDARIA";"[600-1000>";1;"HOMBRE"
"CLI0016645312";"4_PLUS40";"SOLTERO";"SECUNDARIA";"<600";0;"HOMBRE"
"CLI0021093751";"4_PLUS40";"SOLTERO";"SECUNDARIA";"<600";1;"MUJER"
"CLI0072868577";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";0;"MUJER"
"CLI0009431549";"4_PLUS40";"CASADO";"SECUNDARIA";">=2000";1;"HOMBRE"
"CLI0040517714";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0033264836";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";1;"MUJER"
"CLI0043148137";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";0;"MUJER"
"CLI0048184220";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";0;"MUJER"
"CLI0022469098";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";">=2000";0;"HOMBRE"
"CLI0001344005";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";1;"MUJER"
"CLI0020004704";"4_PLUS40";"CASADO";"SECUNDARIA";"[600-1000>";0;"MUJER"
"CLI0008034489";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"MUJER"
"CLI0047314055";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";0;"HOMBRE"
"CLI0041027536";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";1;"MUJER"
"CLI0022248066";"4_PLUS40";"CASADO";"UNIVERSIDAD";">=2000";1;"MUJER"
"CLI0016724026";"3_30_40";"SOLTERO";"SECUNDARIA";"<600";0;"HOMBRE"
"CLI0070584260";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";0;"HOMBRE"
"CLI0040230922";"3_30_40";"SOLTERO";"SECUNDARIA";">=2000";0;"MUJER"
"CLI0474692183";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"<600";0;"HOMBRE"
"CLI0025434381";"4_PLUS40";"CASADO";"PRIMARIA";"[600-1000>";0;"HOMBRE"
"CLI0072469531";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";0;"HOMBRE"
"CLI0048340112";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";0;"HOMBRE"
"CLI0048337562";"2_MINUS30";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";0;"MUJER"
"CLI0040580942";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";1;"MUJER"
"CLI0040432580";"3_30_40";"SOLTERO";"UNIVERSIDAD";"<600";0;"MUJER"
"CLI0070935589";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";0;"MUJER"
"CLI0048097089";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";1;"MUJER"
"CLI0040363521";"3_30_40";"SOLTERO";"UNIVERSIDAD";">=2000";0;"MUJER"
"CLI0025560292";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[600-1000>";0;"HOMBRE"
"CLI0044611132";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";0;"HOMBRE"
"CLI0009970517";"3_30_40";"CASADO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0021402399";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[1000-2000>";0;"HOMBRE"
"CLI0043304123";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"MUJER"
"CLI0073873607";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";0;"HOMBRE"
"CLI0040278837";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0017864985";"4_PLUS40";"CASADO";"SECUNDARIA";"[1000-2000>";0;"MUJER"
"CLI0004065326";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"MUJER"
"CLI0047305704";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"MUJER"
"CLI0043454007";"2_MINUS30";"SOLTERO";"SECUNDARIA";">=2000";0;"HOMBRE"
"CLI0025616064";"4_PLUS40";"SOLTERO";"PRIMARIA";"<600";0;"MUJER"
"CLI0016725442";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0003602508";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";0;"HOMBRE"
"R_10100248188";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[1000-2000>";0;"HOMBRE"
"CLI0009711108";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0047373537";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";0;"HOMBRE"
"CLI0041765542";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";0;"HOMBRE"
"CLI0044057574";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";0;"MUJER"
"CLI0008492595";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"MUJER"
"CLI0042552312";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"MUJER"
"CLI0008467158";"4_PLUS40";"CASADO";"SECUNDARIA";"[1000-2000>";1;"MUJER"
"CLI0021468061";"4_PLUS40";"SOLTERO";"SIN_ESTUDIOS";"<600";0;"MUJER"
"CLI0043238662";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0010143501";"4_PLUS40";"CASADO";"SECUNDARIA";">=2000";1;"MUJER"
"CLI0041449463";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";1;"HOMBRE"
"CLI0042316923";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";0;"MUJER"
"CLI0041526905";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0042455673";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";1;"MUJER"
"CLI0019557555";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";0;"HOMBRE"
"CLI0030422696";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0002879456";"3_30_40";"SOLTERO";"UNIVERSIDAD";"<600";0;"MUJER"
"CLI0021066277";"4_PLUS40";"SOLTERO";"SECUNDARIA";">=2000";1;"MUJER"
"CLI0041908581";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";0;"MUJER"
"CLI0046107302";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";0;"HOMBRE"
